dataset,N,model,family,prompt_condition,confidence_scale,correctness_grader,metrics
GSM8K,150,openai/gpt-4.1-mini,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
GSM8K,150,x-ai/grok-4.3,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
GSM8K,150,x-ai/grok-4.3,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
GSM8K,150,x-ai/grok-4.3,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/diffusiongemma-26B-A4B-it,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/diffusiongemma-26B-A4B-it,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/diffusiongemma-26B-A4B-it,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/gemini-2.5-flash,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/gemini-2.5-flash,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,google/gemini-2.5-flash,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,inception/mercury-2,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,inception/mercury-2,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,inception/mercury-2,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,openai/gpt-4.1-mini,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,openai/gpt-4.1-mini,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,openai/gpt-4.1-mini,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,x-ai/grok-4.3,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,x-ai/grok-4.3,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
MedQA,150,x-ai/grok-4.3,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/diffusiongemma-26B-A4B-it,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/diffusiongemma-26B-A4B-it,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/diffusiongemma-26B-A4B-it,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/gemini-2.5-flash,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/gemini-2.5-flash,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,google/gemini-2.5-flash,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,inception/mercury-2,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,inception/mercury-2,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,inception/mercury-2,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,openai/gpt-4.1-mini,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,openai/gpt-4.1-mini,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,openai/gpt-4.1-mini,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,x-ai/grok-4.3,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,x-ai/grok-4.3,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
SimpleQA,150,x-ai/grok-4.3,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/diffusiongemma-26B-A4B-it,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/diffusiongemma-26B-A4B-it,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/diffusiongemma-26B-A4B-it,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/gemini-2.5-flash,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/gemini-2.5-flash,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,google/gemini-2.5-flash,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,inception/mercury-2,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,inception/mercury-2,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,inception/mercury-2,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,openai/gpt-4.1-mini,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,openai/gpt-4.1-mini,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,openai/gpt-4.1-mini,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,x-ai/grok-4.3,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,x-ai/grok-4.3,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TriviaQA,150,x-ai/grok-4.3,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,Dream-org/Dream-v0-Instruct-7B,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,GSAI-ML/LLaDA-8B-Instruct,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/diffusiongemma-26B-A4B-it,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/diffusiongemma-26B-A4B-it,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/diffusiongemma-26B-A4B-it,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/gemini-2.5-flash,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/gemini-2.5-flash,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,google/gemini-2.5-flash,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,inception/mercury-2,DLM,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,inception/mercury-2,DLM,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,inception/mercury-2,DLM,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,openai/gpt-4.1-mini,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,openai/gpt-4.1-mini,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,openai/gpt-4.1-mini,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,x-ai/grok-4.3,AR,cautious,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,x-ai/grok-4.3,AR,neutral,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
TruthfulQA,150,x-ai/grok-4.3,AR,overconfident,"verbalized probability in [0, 1]",LLM-as-judge with deterministic numeric and multiple-choice checks,accuracy; mean confidence; expected calibration error; AURC; Brier score; AUROC; high-confidence wrong rate; parse success
